date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:18	6425/6425	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221e7a9877148af229ee27e32d4e85b09d%22	https://engineering.tamu.edu/robots.txt		(from )
10:26:18	53436/53436	---MCZ	200	added ('OK')	text/html	etag:W/%22dd0602db10414e38a7c106e0e980fcaa%22	https://engineering.tamu.edu/	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/index.html	(from )
10:26:19	4513/4513	---MCZ	200	added ('OK')	text/css	etag:W/%220cfac91b995f35e8a6783d1b5540b222%22	https://engineering.tamu.edu/_assets/css/accordion-11-18-2021.css	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/css/accordion-11-18-2021.css	(from https://engineering.tamu.edu/)
10:26:20	1352174/1352174	---MCZ	200	added ('OK')	text/css	etag:W/%22d669893a66d294676da87b7aecc81c9b%22	https://engineering.tamu.edu/_assets/css/style-update-9_14_22.css	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/css/style-update-9_14_22.css	(from https://engineering.tamu.edu/)
10:26:20	81124/81124	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Oct%202022%2006:09:46%20GMT	https://www.tamu.edu/assets/fonts/525562/525E459B822EF5E18.css	C:/10Intership/areo%20spave%2033/www.tamu.edu/assets/fonts/525562/525E459B822EF5E18.css	(from https://engineering.tamu.edu/)
10:26:20	8132/8132	---MCZ	200	added ('OK')	text/css	etag:W/%228c51bc864b919da1cd7d46122ab5405d%22	https://engineering.tamu.edu/_assets/css/timeline.css	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/css/timeline.css	(from https://engineering.tamu.edu/)
10:26:20	27441/27441	---M--	200	added ('OK')	image/x-icon	etag:%224f0d499d1aa0c2a8530d8c531f4ad2c7%22	https://engineering.tamu.edu/_assets/images/favicon.ico	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/images/favicon.ico	(from https://engineering.tamu.edu/)
10:26:20	5521/5521	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d300b2303daaf9d967f65906ee0e481%22	https://engineering.tamu.edu/_assets/js/accordion-11-11-2021.js	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/js/accordion-11-11-2021.js	(from https://engineering.tamu.edu/)
10:26:21	89493/89493	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b011cde1904a8612c991366e544c673%22	https://engineering.tamu.edu/_assets/js/jquery.min.js	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/js/jquery.min.js	(from https://engineering.tamu.edu/)
10:26:21	6782/6782	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e8e3d638ab3a2eec04af6ad71d99ded%22	https://engineering.tamu.edu/_assets/js/lazysizes.min.js	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/js/lazysizes.min.js	(from https://engineering.tamu.edu/)
10:26:21	1509/1509	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257518e31cc311d13029faa339b2aa6e3%22	https://engineering.tamu.edu/_assets/js/jquery.fitvids.js	C:/10Intership/areo%20spave%2033/engineering.tamu.edu/_assets/js/jquery.fitvids.js	(from https://engineering.tamu.edu/)
